,Video Title,Links,Channel Name,Duration,Views,Likes,No. of Comments,Days since Upload
91,India Budget 2023: PM Modi speaks after India unveils budget for 2023- 24 | Latest News | WION |,https://www.youtube.com/watch?v=rph1D4HcDaM,IndiaTV,8:13,"4,742",36,11,30
92,Defence Budget 2023 Simplified in 4 Minutes,https://www.youtube.com/watch?v=zVj_UwINR-E,Sansad TV,,"32,925",2.9K,224,30
93,What should you expect from Budget 2023 India? | Budget 2023 | Union Budget 2023-24 | FM Nirmala,https://www.youtube.com/watch?v=RTcSROPp8HQ,PGurus,45:12,"104,112",3.2K,146,45
94,Budget 2023: Opposition reacts to Budget presented in Parliament by Nirmala Sitharaman,https://www.youtube.com/watch?v=1Nrq3aNr80o,WION,24:28,"28,589",109,41,30
95,India Defence Budget 2023: रक्षा बजट क्या बता रहा भारत की ताकत के बारें में ?,https://www.youtube.com/watch?v=s5a5GRg3lOg,CNN-News18,4:13,"150,897",906,13,29
96,2023 BUDGET Highlights | 7 Lakhs No income TAX | ADANI STOCKS BIG FALL ALERT,https://www.youtube.com/watch?v=3SQyA4R6uSU,KADAK,16:58,"194,695",22K,701,30
97,"India's budget allocation for Afghanistan remains same, support increased to Bhutan, Maldives | WION",https://www.youtube.com/watch?v=uOrSZ3LIPVE,ThePrint,14:28,"10,665",181,135,30
98,"Budget 2023: 7 लाख रुपये के इनकम पर कोई टैक्स नहीं, टैक्स स्लैब में बड़ा बदलाव | Nirmala Sitharaman",https://www.youtube.com/watch?v=pEF7BchhbEY,WION,25:44,"25,149",298,31,30
99,Big Announcement in Budget 2023 Live : बजट में हुए बड़े ऐलान से सब चौंक गए!| PM Modi | Tax | Car,https://www.youtube.com/watch?v=jdxIpJGzmfU,WION,52:48,"129,051",1K,16,30
100,"Budget & Economic Survey- प्यार सिर्फ़ एक बार करो, 500 बार नहीं How to prepare for #UPSC #budget2023",https://www.youtube.com/watch?v=y29EQk7k8F0,Alpha Defense - Hindi,30:39,"285,162",14K,506,30
101,Union Budget 2023-24 | Budget 2023 Current Affairs MCQs by Ashutosh Tripathi,https://www.youtube.com/watch?v=3I1dWeupqn0,Groww,,"136,751",13K,559,29
102,Key Budget Facts You Should Know | Union Budget 2023 | Mint Primer | Mint,https://www.youtube.com/watch?v=bNz4ESbZn0U,India.com,3:28,"10,334",203,15,40
103,Budget 2023 में मिलेगी Income Tax में छूट ? जानिए क्या हैं संभावनाएं | Nirmala Sitharaman,https://www.youtube.com/watch?v=LEq1TMUNuCY,Navbharat Times नवभारत टाइम्स,22:20,"31,583",164,9,30
104,Union Budget 2023 | What’s cheaper and what’s costlier? | The Hindu,https://www.youtube.com/watch?v=MYak0sxA31Q,DAY TRADER తెలుగు,18:26,"19,160",503,11,30
105,Budget 2023 : सरकार का ये फैसला बदल देगा युवाओं की तकदीर ! | Nirmala Sitharaman,https://www.youtube.com/watch?v=SU1Nk0f4BPI,WION,35:47,"6,910",46,5,30
106,"Jio ₹395 Unlimited Pack, Apex Legends Shutdown, Union Budget 2023 Cheap Mobiles, LED TV",https://www.youtube.com/watch?v=Ng4RUEBOJRE,Zee Business,8:15,"79,639",7.2K,636,30
107,"India Budget 2023: आज संसद में पेश होगा सालाना बजट, वित्त मंत्री Nirmala Sitharaman पेश करेंगी बजट",https://www.youtube.com/watch?v=hJRS3Q-OeTE,Zee News,1:56:40,"6,546",85,2,30
108,"Budget 2023: बेरोजगार युवाओं को बजट से उम्मीदें, सरकार से की नौकरी की मांग | Budget India Ka",https://www.youtube.com/watch?v=MEH4-obpmHQ,Mrunal Patel,20:52,"10,572",92,19,30
109,Here's What Could Happen If Crypto Tax Isn't Reduced During Budget 2023,https://www.youtube.com/watch?v=0c7qXnaZqpw,SSC Adda247,25:44,"6,293",77,62,32
110,Union Budget 2023 Highlights: Is Budget 2023 Good or Bad | Nirmala Sitharaman Budget 2023,https://www.youtube.com/watch?v=zFw6cy4p5ps,Times Of India,1:21:01,"30,293",237,10,30
